/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[ablate] mode=fixed_tau seed=7 dataset=bitalpha task=classification
[KAIROS] Using device: cuda:0 (NVIDIA RTX A5000)
[KAIROS] Classification task → λ_koop overridden to 0.0
[KAIROS] Small graph (3219 nodes) → full-neighbour training sampler

[KAIROS] Backbone: gcn
Training 200 epochs | 4 views | λ_koop=0.0 | PPR α=0.15

/nas/home/jahin/.local/lib/python3.10/site-packages/dgl/dataloading/dataloader.py:1144: DGLWarning: Dataloader CPU affinity opt is not enabled, consider switching it on (see enable_cpu_affinity() or CPU best practices for DGL [https://docs.dgl.ai/tutorials/cpu/cpu_best_practises.html])
  dgl_warning(
Epoch 00000 | NCE 74.9541 | KOOP 0.0000 | τ 0.5000 | Total 74.9541
Epoch 00001 | NCE 70.0040 | KOOP 0.0000 | τ 0.5000 | Total 70.0040
Epoch 00002 | NCE 68.6679 | KOOP 0.0000 | τ 0.5000 | Total 68.6679
Epoch 00003 | NCE 66.3839 | KOOP 0.0000 | τ 0.5000 | Total 66.3839
Epoch 00004 | NCE 64.0931 | KOOP 0.0000 | τ 0.5000 | Total 64.0931
Epoch 00005 | NCE 64.9331 | KOOP 0.0000 | τ 0.5000 | Total 64.9331
Epoch 00006 | NCE 63.5251 | KOOP 0.0000 | τ 0.5000 | Total 63.5251
Epoch 00007 | NCE 63.2554 | KOOP 0.0000 | τ 0.5000 | Total 63.2554
Epoch 00008 | NCE 62.2652 | KOOP 0.0000 | τ 0.5000 | Total 62.2652
Epoch 00009 | NCE 62.5270 | KOOP 0.0000 | τ 0.5000 | Total 62.5270
Epoch 00010 | NCE 62.1046 | KOOP 0.0000 | τ 0.5000 | Total 62.1046
Epoch 00011 | NCE 61.8214 | KOOP 0.0000 | τ 0.5000 | Total 61.8214
Epoch 00012 | NCE 61.5509 | KOOP 0.0000 | τ 0.5000 | Total 61.5509
Epoch 00013 | NCE 60.6518 | KOOP 0.0000 | τ 0.5000 | Total 60.6518
Epoch 00014 | NCE 60.4463 | KOOP 0.0000 | τ 0.5000 | Total 60.4463
Epoch 00015 | NCE 60.2229 | KOOP 0.0000 | τ 0.5000 | Total 60.2229
Epoch 00016 | NCE 60.7776 | KOOP 0.0000 | τ 0.5000 | Total 60.7776
Epoch 00017 | NCE 59.8121 | KOOP 0.0000 | τ 0.5000 | Total 59.8121
Epoch 00018 | NCE 61.0025 | KOOP 0.0000 | τ 0.5000 | Total 61.0025
Epoch 00019 | NCE 60.1705 | KOOP 0.0000 | τ 0.5000 | Total 60.1705
Epoch 00020 | NCE 60.3775 | KOOP 0.0000 | τ 0.5000 | Total 60.3775
Epoch 00021 | NCE 61.0388 | KOOP 0.0000 | τ 0.5000 | Total 61.0388
Epoch 00022 | NCE 59.7430 | KOOP 0.0000 | τ 0.5000 | Total 59.7430
Epoch 00023 | NCE 59.8119 | KOOP 0.0000 | τ 0.5000 | Total 59.8119
Epoch 00024 | NCE 60.2594 | KOOP 0.0000 | τ 0.5000 | Total 60.2594
Epoch 00025 | NCE 60.0369 | KOOP 0.0000 | τ 0.5000 | Total 60.0369
Epoch 00026 | NCE 59.4299 | KOOP 0.0000 | τ 0.5000 | Total 59.4299
Epoch 00027 | NCE 59.3942 | KOOP 0.0000 | τ 0.5000 | Total 59.3942
Epoch 00028 | NCE 58.9364 | KOOP 0.0000 | τ 0.5000 | Total 58.9364
Epoch 00029 | NCE 59.1301 | KOOP 0.0000 | τ 0.5000 | Total 59.1301
Epoch 00030 | NCE 59.6802 | KOOP 0.0000 | τ 0.5000 | Total 59.6802
Epoch 00031 | NCE 59.2769 | KOOP 0.0000 | τ 0.5000 | Total 59.2769
Epoch 00032 | NCE 59.3821 | KOOP 0.0000 | τ 0.5000 | Total 59.3821
Epoch 00033 | NCE 59.3136 | KOOP 0.0000 | τ 0.5000 | Total 59.3136
Epoch 00034 | NCE 58.9891 | KOOP 0.0000 | τ 0.5000 | Total 58.9891
Epoch 00035 | NCE 59.2179 | KOOP 0.0000 | τ 0.5000 | Total 59.2179
Epoch 00036 | NCE 59.1875 | KOOP 0.0000 | τ 0.5000 | Total 59.1875
Epoch 00037 | NCE 59.4489 | KOOP 0.0000 | τ 0.5000 | Total 59.4489
Epoch 00038 | NCE 58.7457 | KOOP 0.0000 | τ 0.5000 | Total 58.7457
Epoch 00039 | NCE 58.7723 | KOOP 0.0000 | τ 0.5000 | Total 58.7723
Epoch 00040 | NCE 58.7036 | KOOP 0.0000 | τ 0.5000 | Total 58.7036
Epoch 00041 | NCE 59.3153 | KOOP 0.0000 | τ 0.5000 | Total 59.3153
Epoch 00042 | NCE 59.2687 | KOOP 0.0000 | τ 0.5000 | Total 59.2687
Epoch 00043 | NCE 58.3644 | KOOP 0.0000 | τ 0.5000 | Total 58.3644
Epoch 00044 | NCE 58.7859 | KOOP 0.0000 | τ 0.5000 | Total 58.7859
Epoch 00045 | NCE 58.9100 | KOOP 0.0000 | τ 0.5000 | Total 58.9100
Epoch 00046 | NCE 58.9094 | KOOP 0.0000 | τ 0.5000 | Total 58.9094
Epoch 00047 | NCE 58.2426 | KOOP 0.0000 | τ 0.5000 | Total 58.2426
Epoch 00048 | NCE 58.7182 | KOOP 0.0000 | τ 0.5000 | Total 58.7182
