/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[ablate] mode=fixed_tau seed=42 dataset=bitalpha task=classification
[KAIROS] Using device: cuda:0 (NVIDIA RTX A5000)
[KAIROS] Classification task → λ_koop overridden to 0.0
[KAIROS] Small graph (3219 nodes) → full-neighbour training sampler

[KAIROS] Backbone: gcn
Training 200 epochs | 4 views | λ_koop=0.0 | PPR α=0.15

/nas/home/jahin/.local/lib/python3.10/site-packages/dgl/dataloading/dataloader.py:1144: DGLWarning: Dataloader CPU affinity opt is not enabled, consider switching it on (see enable_cpu_affinity() or CPU best practices for DGL [https://docs.dgl.ai/tutorials/cpu/cpu_best_practises.html])
  dgl_warning(
Epoch 00000 | NCE 73.5545 | KOOP 0.0000 | τ 0.5000 | Total 73.5545
Epoch 00001 | NCE 71.5207 | KOOP 0.0000 | τ 0.5000 | Total 71.5207
Epoch 00002 | NCE 69.4087 | KOOP 0.0000 | τ 0.5000 | Total 69.4087
Epoch 00003 | NCE 66.3645 | KOOP 0.0000 | τ 0.5000 | Total 66.3645
Epoch 00004 | NCE 65.6761 | KOOP 0.0000 | τ 0.5000 | Total 65.6761
Epoch 00005 | NCE 64.3936 | KOOP 0.0000 | τ 0.5000 | Total 64.3936
Epoch 00006 | NCE 63.7025 | KOOP 0.0000 | τ 0.5000 | Total 63.7025
Epoch 00007 | NCE 63.2668 | KOOP 0.0000 | τ 0.5000 | Total 63.2668
Epoch 00008 | NCE 62.8255 | KOOP 0.0000 | τ 0.5000 | Total 62.8255
Epoch 00009 | NCE 62.5476 | KOOP 0.0000 | τ 0.5000 | Total 62.5476
Epoch 00010 | NCE 61.8857 | KOOP 0.0000 | τ 0.5000 | Total 61.8857
Epoch 00011 | NCE 62.2357 | KOOP 0.0000 | τ 0.5000 | Total 62.2357
Epoch 00012 | NCE 61.6380 | KOOP 0.0000 | τ 0.5000 | Total 61.6380
Epoch 00013 | NCE 60.5658 | KOOP 0.0000 | τ 0.5000 | Total 60.5658
Epoch 00014 | NCE 61.5989 | KOOP 0.0000 | τ 0.5000 | Total 61.5989
Epoch 00015 | NCE 61.0701 | KOOP 0.0000 | τ 0.5000 | Total 61.0701
Epoch 00016 | NCE 60.3215 | KOOP 0.0000 | τ 0.5000 | Total 60.3215
Epoch 00017 | NCE 61.0011 | KOOP 0.0000 | τ 0.5000 | Total 61.0011
Epoch 00018 | NCE 60.3184 | KOOP 0.0000 | τ 0.5000 | Total 60.3184
Epoch 00019 | NCE 60.2260 | KOOP 0.0000 | τ 0.5000 | Total 60.2260
Epoch 00020 | NCE 60.5498 | KOOP 0.0000 | τ 0.5000 | Total 60.5498
Epoch 00021 | NCE 60.0109 | KOOP 0.0000 | τ 0.5000 | Total 60.0109
Epoch 00022 | NCE 60.1748 | KOOP 0.0000 | τ 0.5000 | Total 60.1748
Epoch 00023 | NCE 59.6514 | KOOP 0.0000 | τ 0.5000 | Total 59.6514
Epoch 00024 | NCE 59.8704 | KOOP 0.0000 | τ 0.5000 | Total 59.8704
Epoch 00025 | NCE 59.7352 | KOOP 0.0000 | τ 0.5000 | Total 59.7352
Epoch 00026 | NCE 59.0014 | KOOP 0.0000 | τ 0.5000 | Total 59.0014
Epoch 00027 | NCE 59.1082 | KOOP 0.0000 | τ 0.5000 | Total 59.1082
Epoch 00028 | NCE 59.3566 | KOOP 0.0000 | τ 0.5000 | Total 59.3566
Epoch 00029 | NCE 58.9432 | KOOP 0.0000 | τ 0.5000 | Total 58.9432
Epoch 00030 | NCE 58.9666 | KOOP 0.0000 | τ 0.5000 | Total 58.9666
Epoch 00031 | NCE 59.6254 | KOOP 0.0000 | τ 0.5000 | Total 59.6254
Epoch 00032 | NCE 59.3447 | KOOP 0.0000 | τ 0.5000 | Total 59.3447
Epoch 00033 | NCE 58.7414 | KOOP 0.0000 | τ 0.5000 | Total 58.7414
Epoch 00034 | NCE 58.8836 | KOOP 0.0000 | τ 0.5000 | Total 58.8836
Epoch 00035 | NCE 58.8780 | KOOP 0.0000 | τ 0.5000 | Total 58.8780
Epoch 00036 | NCE 58.5094 | KOOP 0.0000 | τ 0.5000 | Total 58.5094
Epoch 00037 | NCE 59.1417 | KOOP 0.0000 | τ 0.5000 | Total 59.1417
Epoch 00038 | NCE 58.4114 | KOOP 0.0000 | τ 0.5000 | Total 58.4114
Epoch 00039 | NCE 58.5673 | KOOP 0.0000 | τ 0.5000 | Total 58.5673
