/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[ablate] mode=fixed_tau seed=24 dataset=bitalpha task=classification
/nas/home/jahin/.local/lib/python3.10/site-packages/torch/cuda/__init__.py:654: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")
[KAIROS] Using device: cuda:0 (NVIDIA RTX A6000)
[KAIROS] Classification task → λ_koop overridden to 0.0
[KAIROS] Small graph (3219 nodes) → full-neighbour training sampler

[KAIROS] Backbone: gcn
Training 200 epochs | 4 views | λ_koop=0.0 | PPR α=0.15

/nas/home/jahin/.local/lib/python3.10/site-packages/dgl/dataloading/dataloader.py:1144: DGLWarning: Dataloader CPU affinity opt is not enabled, consider switching it on (see enable_cpu_affinity() or CPU best practices for DGL [https://docs.dgl.ai/tutorials/cpu/cpu_best_practises.html])
  dgl_warning(
Epoch 00000 | NCE 74.7631 | KOOP 0.0000 | τ 0.5000 | Total 74.7631
Epoch 00001 | NCE 72.2441 | KOOP 0.0000 | τ 0.5000 | Total 72.2441
Epoch 00002 | NCE 68.9117 | KOOP 0.0000 | τ 0.5000 | Total 68.9117
Epoch 00003 | NCE 67.1203 | KOOP 0.0000 | τ 0.5000 | Total 67.1203
Epoch 00004 | NCE 65.8995 | KOOP 0.0000 | τ 0.5000 | Total 65.8995
Epoch 00005 | NCE 64.0826 | KOOP 0.0000 | τ 0.5000 | Total 64.0826
Epoch 00006 | NCE 64.4589 | KOOP 0.0000 | τ 0.5000 | Total 64.4589
Epoch 00007 | NCE 64.0759 | KOOP 0.0000 | τ 0.5000 | Total 64.0759
Epoch 00008 | NCE 62.2031 | KOOP 0.0000 | τ 0.5000 | Total 62.2031
Epoch 00009 | NCE 61.6199 | KOOP 0.0000 | τ 0.5000 | Total 61.6199
Epoch 00010 | NCE 61.4338 | KOOP 0.0000 | τ 0.5000 | Total 61.4338
Epoch 00011 | NCE 61.9474 | KOOP 0.0000 | τ 0.5000 | Total 61.9474
Epoch 00012 | NCE 61.1292 | KOOP 0.0000 | τ 0.5000 | Total 61.1292
Epoch 00013 | NCE 61.3391 | KOOP 0.0000 | τ 0.5000 | Total 61.3391
Epoch 00014 | NCE 60.6653 | KOOP 0.0000 | τ 0.5000 | Total 60.6653
Epoch 00015 | NCE 60.6767 | KOOP 0.0000 | τ 0.5000 | Total 60.6767
Epoch 00016 | NCE 60.1454 | KOOP 0.0000 | τ 0.5000 | Total 60.1454
Epoch 00017 | NCE 60.4527 | KOOP 0.0000 | τ 0.5000 | Total 60.4527
Epoch 00018 | NCE 60.5842 | KOOP 0.0000 | τ 0.5000 | Total 60.5842
Epoch 00019 | NCE 59.5502 | KOOP 0.0000 | τ 0.5000 | Total 59.5502
Epoch 00020 | NCE 60.4281 | KOOP 0.0000 | τ 0.5000 | Total 60.4281
Epoch 00021 | NCE 59.6860 | KOOP 0.0000 | τ 0.5000 | Total 59.6860
Epoch 00022 | NCE 59.9014 | KOOP 0.0000 | τ 0.5000 | Total 59.9014
Epoch 00023 | NCE 60.1775 | KOOP 0.0000 | τ 0.5000 | Total 60.1775
Epoch 00024 | NCE 59.3902 | KOOP 0.0000 | τ 0.5000 | Total 59.3902
Epoch 00025 | NCE 59.7940 | KOOP 0.0000 | τ 0.5000 | Total 59.7940
Epoch 00026 | NCE 59.7205 | KOOP 0.0000 | τ 0.5000 | Total 59.7205
Epoch 00027 | NCE 59.4757 | KOOP 0.0000 | τ 0.5000 | Total 59.4757
Epoch 00028 | NCE 59.5292 | KOOP 0.0000 | τ 0.5000 | Total 59.5292
Epoch 00029 | NCE 59.3669 | KOOP 0.0000 | τ 0.5000 | Total 59.3669
Epoch 00030 | NCE 58.7372 | KOOP 0.0000 | τ 0.5000 | Total 58.7372
Epoch 00031 | NCE 59.4068 | KOOP 0.0000 | τ 0.5000 | Total 59.4068
Epoch 00032 | NCE 59.1823 | KOOP 0.0000 | τ 0.5000 | Total 59.1823
Epoch 00033 | NCE 59.0527 | KOOP 0.0000 | τ 0.5000 | Total 59.0527
Epoch 00034 | NCE 59.0498 | KOOP 0.0000 | τ 0.5000 | Total 59.0498
Epoch 00035 | NCE 59.6707 | KOOP 0.0000 | τ 0.5000 | Total 59.6707
